 325088	0|5|7|5|0|8|9	633
 323012	1|5|3|5|4|15|1	1453
 316348	1|5|1|7|4|5|9	1406
 313778	0|4|8|6|0|7|9	368
 306990	0|7|1|5|2|7|10	798
 306564	0|4|1|6|5|11|7	29
 303384	1|4|5|4|5|13|4	1077
 300240	0|5|1|8|3|6|8	441
 299940	0|6|6|4|0|9|9	771
 297620	1|4|8|4|2|15|2	1334
 297266	1|5|8|4|0|6|11	1692
 296886	0|5|8|4|0|6|12	642
 295796	0|4|9|5|0|10|7	393
 294912	0|6|3|6|1|15|1	699
 293916	1|5|4|4|4|14|3	1492
 290627	0|5|4|4|4|5|13	497
 285598	0|4|8|6|0|5|11	366
 285546	0|4|5|8|1|14|0	174
 284672	0|6|3|7|0|15|0	701
 284416	0|6|5|5|0|15|2	766
 280544	1|4|5|5|4|11|5	1107
 279944	0|5|5|5|2|12|5	550
 279296	1|4|7|5|2|14|2	1295
 276108	1|5|9|6|6|6|0	1711
 274854	0|5|7|4|1|14|4	628
 274680	1|4|1|8|5|5|8	927
 272512	1|5|8|4|0|15|2	1701
 272084	0|4|8|4|2|12|6	351
 270666	0|4|2|5|5|11|8	63
 270620	0|4|8|6|0|11|5	372
 270368	1|4|8|4|2|9|8	1328
 269164	1|4|9|4|1|7|10	1354
 267776	1|4|6|5|3|14|2	1215
 267600	0|6|1|5|2|10|9	665
 263546	0|5|2|5|3|10|9	457
 261652	1|4|5|4|5|12|5	1076
 259152	0|4|8|5|1|9|8	359
 257416	0|5|1|4|2|15|8	413
 254933	0|4|9|5|0|5|12	388
 253371	1|4|7|5|2|5|11	1286
 252316	1|5|6|6|0|15|0	1665
 251392	0|4|9|5|0|11|6	394
 250156	0|5|5|4|3|14|4	530
 250034	0|6|6|4|0|5|13	767
 248958	1|4|9|4|1|11|6	1358
 246072	1|4|8|6|0|11|4	1349
 245216	0|5|5|4|3|13|5	529
 244984	1|4|7|4|3|9|8	1268
 243104	0|6|6|4|0|10|8	772
 242533	0|5|1|4|3|14|8	415
 241400	0|4|7|5|2|9|8	305
 240712	1|4|8|4|2|5|12	1324
 239051	1|4|9|4|1|5|12	1352
 238176	0|5|5|5|2|6|11	544
 237504	0|4|7|6|1|14|2	321
 237468	1|5|10|5|6|6|1	1716
 237450	0|6|5|4|1|15|3	755
