  65140	0|8|2|4|0|13|5	881
  64345	0|5|8|4|0|8|10	644
  64299	0|5|2|8|0|7|9	466
  63980	0|7|1|4|3|5|13	793
  63947	0|6|4|5|1|9|8	727
  62952	1|5|6|6|0|15|0	1665
  62577	0|6|6|4|0|6|12	768
  62385	1|4|8|5|1|5|11	1335
  61988	0|4|6|4|4|10|8	198
  61981	0|4|8|6|0|7|9	368
  60307	0|4|6|7|1|6|9	249
  59820	0|4|2|4|6|12|8	54
  59026	0|4|7|5|2|6|11	302
  58766	0|4|6|5|3|9|8	219
  58637	0|6|4|4|2|9|9	716
  57409	0|6|1|4|3|11|9	659
  57354	0|4|8|4|2|15|3	354
  57147	0|4|9|5|0|7|10	390
  56582	0|4|9|4|1|15|3	387
  55924	0|6|4|4|2|10|8	717
  55084	0|7|1|6|1|6|10	799
  53716	0|4|10|4|0|8|10	402
  53486	1|4|7|6|1|6|9	1298
  53113	0|4|7|4|3|6|12	280
  52591	1|4|7|4|3|15|2	1274
  52369	1|4|10|4|0|7|10	1371
  51632	0|6|5|5|0|15|2	766
  50914	0|4|10|4|0|14|4	408
  50872	0|7|3|5|0|12|5	827
  50323	0|5|7|5|0|5|12	630
  50102	0|6|4|4|2|7|11	714
  49770	0|5|5|7|0|15|0	575
  49531	0|4|10|4|0|6|12	400
  49269	0|4|9|4|1|5|13	377
  48712	1|4|9|5|0|14|2	1367
  46882	0|6|4|4|2|5|13	712
  46813	0|4|5|7|2|15|0	172
  46173	0|7|3|5|0|6|11	821
  45703	1|4|10|4|0|6|11	1370
  45648	0|4|8|4|2|5|13	344
  45629	0|5|5|6|1|7|9	556
  45479	0|4|8|6|0|15|1	376
  44531	0|6|5|5|0|7|10	758
  43877	1|4|10|4|0|11|6	1372
  43421	0|4|8|4|2|8|10	347
  43014	0|5|1|7|2|9|8	438
  42961	0|8|2|4|0|14|4	882
  42622	1|4|8|5|1|6|10	1336
  41825	0|5|8|4|0|6|12	642
  41199	1|4|6|4|4|15|2	1194
  40547	1|4|1|5|1|15|8	895
  39540	1|4|9|5|0|15|1	1368
  39534	0|5|7|5|0|6|11	631
  39405	0|4|7|5|2|8|9	304
  39121	0|4|9|4|1|6|12	378
  39022	0|7|4|4|0|10|8	837
  38686	1|5|6|4|0|5|14	1622
  38664	0|6|1|8|1|5|9	672
  38560	1|4|1|4|4|14|8	890
  37694	0|4|1|7|4|10|7	37
  37677	0|5|7|5|0|15|2	640
  37317	0|4|6|5|3|12|5	222
  37085	1|6|4|5|1|7|9	1845
  36769	0|4|3|6|0|12|9	103
  36209	1|4|6|5|3|15|1	1216
  36149	1|4|1|7|6|6|8	921
  35818	0|4|8|5|1|15|2	365
  35506	0|7|3|4|1|14|4	818
  35483	0|6|4|6|0|7|9	736
  35226	0|5|2|5|0|13|9	453
  35223	0|4|8|6|0|6|10	367
  35099	0|7|1|4|1|10|10	792
  34361	1|6|5|4|1|7|10	1870
  34179	0|4|2|6|4|10|8	71
  34021	0|4|6|4|4|12|6	200
  33582	0|6|4|5|1|8|9	726
  33554	1|4|4|6|4|14|1	1031
  33474	1|4|9|5|0|5|11	1363
  33393	1|6|2|6|2|15|0	1749
  33228	0|4|3|5|4|10|9	100
  33064	0|4|9|5|0|12|5	395
  32889	0|4|3|4|5|11|9	92
  32888	0|4|9|5|0|5|12	388
  32261	1|4|1|8|5|5|8	927
  32133	0|4|7|7|0|6|9	324
  32124	0|5|1|5|0|15|8	419
  31938	1|4|9|5|0|11|5	1366
  31788	0|4|9|5|0|15|2	398
  31481	0|4|6|4|4|8|10	196
  31319	0|6|1|6|1|9|9	668
  30659	0|4|8|5|1|7|10	357
  30622	0|6|5|5|0|6|11	757
  30049	0|4|5|4|5|5|13	157
  29604	1|6|6|4|0|6|11	1897
  29296	1|4|9|4|1|5|12	1352
  29253	0|7|1|7|0|5|10	800
  28938	0|4|7|4|3|8|10	282
  28763	0|4|8|4|2|9|9	348
  28195	0|4|9|5|0|14|3	397
  28030	0|4|6|5|3|7|10	217
  27656	0|8|1|4|1|5|13	870
  27548	1|4|9|4|1|7|10	1354
  27535	0|4|8|6|0|5|11	366
  26844	1|5|7|5|0|14|2	1687
  26796	0|5|5|4|3|7|11	523
  26567	1|5|8|4|0|15|2	1701
  26451	0|4|8|4|2|6|12	345
  26276	0|4|9|5|0|9|8	392
  26219	0|4|7|6|1|7|9	314
  26002	0|4|10|4|0|10|8	404
  25970	0|5|5|4|3|10|8	526
  25842	0|4|6|5|3|8|9	218
  25736	1|4|5|4|5|9|8	1073
  25674	0|4|7|4|3|15|3	289
  25655	0|4|7|5|2|15|2	311
  25078	0|5|6|6|0|15|1	618
  24982	1|5|9|6|6|6|0	1711
  24952	0|7|3|5|0|10|7	825
  24676	0|5|1|4|2|15|8	413
